tokenized_quote,tags
"['be', 'yourself', 'everyone', 'else', 'is', 'already', 'taken']","['be-yourself', 'gilbert-perreira', 'honesty', 'inspirational', 'misattributed-oscar-wilde', 'quote-investigator']"
"['i', 'am', 'selfish', 'impatient', 'and', 'a', 'little', 'insecure', 'i', 'make', 'mistakes', 'i', 'am', 'out', 'of', 'control', 'and', 'at', 'times', 'hard', 'to', 'handle', 'but', 'if', 'you', 'can', 'not', 'handle', 'me', 'at', 'my', 'worst', 'then', 'you', 'sure', 'as', 'hell', 'do', 'not', 'deserve', 'me', 'at', 'my', 'best']","['best', 'life', 'love', 'mistakes', 'out-of-control', 'truth', 'worst']"
"['two', 'things', 'are', 'infinite', 'the', 'universe', 'and', 'human', 'stupidity', 'and', 'i', 'am', 'not', 'sure', 'about', 'the', 'universe']","['human-nature', 'humor', 'infinity', 'philosophy', 'science', 'stupidity', 'universe']"
"['so', 'many', 'books', 'so', 'little', 'time']","['books', 'humor']"
"['a', 'room', 'without', 'books', 'is', 'like', 'a', 'body', 'without', 'a', 'soul']","['books', 'simile', 'soul']"
"['be', 'who', 'you', 'are', 'and', 'say', 'what', 'you', 'feel', 'because', 'those', 'who', 'mind', 'do', 'not', 'matter', 'and', 'those', 'who', 'matter', 'do', 'not', 'mind']","['ataraxy', 'be-yourself', 'confidence', 'fitting-in', 'individuality', 'misattributed-dr-seuss', 'those-who-matter']"
"['you', 'have', 'got', 'to', 'dance', 'like', 'there', 'is', 'nobody', 'watchinglove', 'like', 'you', 'will', 'never', 'be', 'hurtsing', 'like', 'there', 'is', 'nobody', 'listeningand', 'live', 'like', 'its', 'heaven', 'on', 'earth']","['dance', 'heaven', 'hurt', 'inspirational', 'life', 'love', 'sing']"
"['you', 'know', 'you', 'are', 'in', 'love', 'when', 'you', 'can', 'not', 'fall', 'asleep', 'because', 'reality', 'is', 'finally', 'better', 'than', 'your', 'dreams']","['dreams', 'love', 'reality', 'sleep']"
"['you', 'only', 'live', 'once', 'but', 'if', 'you', 'do', 'it', 'right', 'once', 'is', 'enough']","['humor', 'life']"
"['be', 'the', 'change', 'that', 'you', 'wish', 'to', 'see', 'in', 'the', 'world']","['action', 'change', 'inspirational', 'philosophy', 'wish']"
"['in', 'three', 'words', 'i', 'can', 'sum', 'up', 'everything', 'i', 'have', 'learned', 'about', 'life', 'it', 'goes', 'on']",['life']
"['if', 'you', 'want', 'to', 'know', 'what', 'a', 'mans', 'like', 'take', 'a', 'good', 'look', 'at', 'how', 'he', 'treats', 'his', 'inferiors', 'not', 'his', 'equals']","['character', 'sirius-black']"
"['donât', 'walk', 'in', 'front', 'of', 'meâ', 'i', 'may', 'not', 'followdonât', 'walk', 'behind', 'meâ', 'i', 'may', 'not', 'leadwalk', 'beside', 'meâ', 'just', 'be', 'my', 'friend']","['friends', 'friendship', 'misattributed-albert-camus']"
"['if', 'you', 'tell', 'the', 'truth', 'you', 'do', 'not', 'have', 'to', 'remember', 'anything']","['lies', 'lying', 'memory', 'truth']"
"['friendship', 'is', 'born', 'at', 'the', 'moment', 'when', 'one', 'man', 'says', 'to', 'another', 'what', 'you', 'too', 'i', 'thought', 'that', 'no', 'one', 'but', 'myself']",['friendship']
"['a', 'friend', 'is', 'someone', 'who', 'knows', 'all', 'about', 'you', 'and', 'still', 'loves', 'you']","['friend', 'friendship', 'knowledge', 'love']"
"['always', 'forgive', 'your', 'enemies', 'nothing', 'annoys', 'them', 'so', 'much']","['enemies', 'forgiveness', 'strategy']"
"['to', 'live', 'is', 'the', 'rarest', 'thing', 'in', 'the', 'world', 'most', 'people', 'exist', 'that', 'is', 'all']",['life']
